Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File,Segment
6917606,ANIMAL PRINT MARINE JEANS - Brown | ZARA United States,GENERAL,Brown,39.9,,97.0,True,2350.0,25.21,,97.0,,True,14.69,"Composition: 97% cotton, 3% elastane | 97% cotton | 97% OCS certified organically grown cotton",Morocco,2026-03-24,93.22,comparison_girltops,Kids
595626,ANIMAL PRINT WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
6045610,STUDDED BOOTCUT JEANS - Gray | ZARA United States,GENERAL,Gray,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Egypt,2026-03-24,93.22,comparison_girltops,Kids
4551644,STUDDED STRAIGHT LEG JEANS - Gray | ZARA United States,GENERAL,Gray,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton | 80% OCS certified organically grown cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
327603,WIDE LEG JEANS WITH SHIMMER FRINGE - Blue / Gray | ZARA United States,GENERAL,Blue / Gray,49.9,,60.0,True,2950.0,31.65,,60.0,,True,18.25,"Composition: 60% cotton, 40% lyocell | 60% cotton | 5% RCS-certified recycled cotton | 55% OCS certified organically grown cotton",Turkey,2026-03-24,93.22,comparison_girltops,Kids
1300602,WIDE LEG JEANS WITH STUDS - Ecru / Blue | ZARA United States,GENERAL,Ecru / Blue,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton | 70% OCS certified organically grown cotton,Turkey,2026-03-24,93.22,comparison_girltops,Kids
4551627,RHINESTONE STAR WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
327621,STAR WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton | 70% OCS certified organically grown cotton,Turkey,2026-03-24,93.22,comparison_girltops,Kids
4551628,WIDE LEG STUDDED JEANS - Blue | ZARA United States,GENERAL,Blue,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
4551633,WIDE LEG JEANS WITH ANIMAL PRINT STAR PATCHES - Stone | ZARA United States,GENERAL,Stone,45.9,,100.0,True,2550.0,27.35,,100.0,,True,18.55,Composition: 100% cotton,,2026-03-24,93.22,comparison_girltops,Kids
327620,ANIMAL PATCH WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,45.9,,100.0,True,2550.0,27.35,,100.0,,True,18.55,Composition: 100% cotton,,2026-03-24,93.22,comparison_girltops,Kids
