Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
6771016,POINTELLE KNIT CARDIGAN - Pink | ZARA United States,GENERAL,Pink,59.9,,62.0,True,2950.0,31.51,,62.0,,True,28.39,"Composition: 62% polyester, 38% cotton, 0% viscose | 62% polyester | 38% cotton",Turkey,2026-03-22,93.62,comparison_knitwear
6236006,PUFF SLEEVE KNIT JUMPER - Yellow | ZARA United States,GENERAL,Yellow,49.9,,55.0,True,2550.0,27.24,,55.0,,True,22.66,"Composition: 55% polyester, 45% cotton, 0% viscose | 55% polyester | 45% cotton",Turkey,2026-03-22,93.62,comparison_knitwear
6236008,SHORT SLEEVE POINTELLE CARDIGAN - Ecru | ZARA United States,GENERAL,Ecru,49.9,,61.0,True,2550.0,27.24,,61.0,,True,22.66,"Composition: 61% polyester, 39% cotton, 0% viscose | 61% polyester | 39% cotton",Turkey,2026-03-22,93.62,comparison_knitwear
2142016,PUFF SLEEVE KNIT TOP - Ecru | ZARA United States,GENERAL,Ecru,49.9,,100.0,True,2550.0,27.24,,100.0,,True,22.66,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62,comparison_knitwear
4192009,PUFF SHORT SLEEVE KNIT TOP - Pink | ZARA United States,GENERAL,Pink,49.9,,50.0,True,2550.0,27.24,,50.0,,True,22.66,"Composition: 50% polyester, 34% viscose, 16% polyamide | 50% polyester | 50% RCS-certified recycled polyester",China,2026-03-22,93.62,comparison_knitwear
3456008,PUFFY KNIT JUMPER - Blue / Indigo | ZARA United States,GENERAL,Blue / Indigo,49.9,,76.0,True,2550.0,27.24,,76.0,,True,22.66,"Composition: 76% cotton, 24% polyester | 76% cotton | 24% polyester | 24% RCS-certified recycled polyester | 76% RCS-certified recycled cotton",China,2026-03-22,93.62,comparison_knitwear
4192025,GOLD BUTTON PEPLUM CARDIGAN - Navy blue | ZARA United States,GENERAL,Navy blue,69.9,,100.0,True,3950.0,42.19,,100.0,,True,27.71,Composition: 100% cotton | 100% cotton | 100% RCS-certified recycled cotton,China,2026-03-22,93.62,comparison_knitwear
14003,PUFF SLEEVE RIB KNIT TOP - Ecru | ZARA United States,GENERAL,Ecru,49.9,,51.0,True,2550.0,27.24,,51.0,,True,22.66,"Composition: 51% polyamide, 49% polyester | 49% polyester | 49% RCS-certified recycled polyester",China,2026-03-22,93.62,comparison_knitwear
2507041,GINGHAM CHECK SHIRT DRESS ZW COLLECTION - Green | ZARA United States,GENERAL,Green,99.9,,100.0,True,5550.0,59.04,,100.0,,True,40.86,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,3/22/26,94.01,March22_1AM
5919040,ZW COLLECTION SATIN LACE DRESS - Brown | ZARA United States,GENERAL,Brown,99.9,,100.0,True,5550.0,59.04,,100.0,,True,40.86,100% polyester | 100% RCS-certified recycled polyester,China,3/22/26,94.01,March22_1AM
