name,colour_from_title,price_current_inr,price_current_usd,price_original_inr,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency,price_current_local,price_original_local
CHAMPION ® X ZARA TEXT RIBBED T-SHIRT - Gray marl | ZARA United States,Gray marl,,7.96,,-60,60.00,True,"Composition: 73% cotton, 24% polyester, 3% elastane | 73% cotton | 24% polyester | 24% RCS-certified recycled polyester | 73% OCS certified organically grown cotton",,USD,7.96,19.90
,,,,,,,,,,,,
TEXTURED CROSSBODY BAG - Black | ZARA India,Black,1300.00,15.66,3250.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester,China,INR,,
TEXTURE CROSSBODY BAG - Black | ZARA United States,Black,,17.97,,-70,70.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD,17.97,59.90
,,,,,,,,,,,,
BOX CROSSBODY BAG - Black | ZARA India,Black,1300.00,15.66,3250.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester,China,INR,,
CROSSBODY BOX BAG - Black | ZARA United States,Black,,17.97,,-70,70.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD,17.97,59.90
,,,,,,,,,,,,
STRAIGHT-LEG TROUSERS WITH VENTS - Black | ZARA India,Black,1300.00,15.66,4350.00,-70,70.11,True,"Composition: 75% polyester, 25% viscose | 75% polyester | 25% viscose | 75% RCS certified recycled polyester",Morocco,INR,,
STRAIGHT FIT PANTS WITH VENTS - Black | ZARA United States,Black,,13.98,,-80,80.00,True,"Composition: 75% polyester, 25% viscose | 75% polyester | 25% viscose | 75% RCS-certified recycled polyester",,USD,13.98,69.90
,,,,,,,,,,,,
FAUX SHEARLING PUMPKIN CROSSBODY BAG - Pink | ZARA India,Pink,970.00,11.69,1950.00,-50,50.26,True,100% polyester | 100% RCS certified recycled polyester,China,INR,,
FLEECE PUMPKIN CROSSBODY BAG - Pink | ZARA United States,Pink,,6.58,,-80,80.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD,6.58,32.90
,,,,,,,,,,,,
LEATHER LOAFERS - Sand Brown | ZARA India,Sand Brown,1420.00,17.11,3550.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester | 58% RCS certified recycled polyester,India,INR,,
LEATHER LOAFERS - Sandy Brown | ZARA United States,Sandy Brown,,22.36,,-60,60.00,True,100% polyester | 100% RCS-certified recycled polyester | 58% RCS-certified recycled polyester,,USD,22.36,55.90
,,,,,,,,,,,,
MICKEY MOUSE © DISNEY WATER-REPELLENT AND WINDPROOF PUFFER COAT - Anthracite grey | ZARA India,Anthracite grey,1180.00,14.22,2950.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester,China,INR,,
WATER REPELLENT AND WINDPROOF MICKEY MOUSE © DISNEY PUFFER COAT - Anthracite grey | ZARA United States,Anthracite grey,,19.96,,-60,60.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD,19.96,49.90
,,,,,,,,,,,,
,,,,,,,,,,,,
High-rise wide leg jeans with pockets - Women | MANGO India,Medium Blue,4290.00,51.69,,,,False,Composition: 100% cotton,"Bangladesh
Dye",INR,,
High-rise wide leg jeans with pockets - Women | MANGO USA,Medium Blue,,,,-55,55.01,True,Composition: 100% cotton,"Bangladesh
Dye",USD,35.99,79.99
,,,,,,,,,,,,
Wide leg pleated jeans - Women | MANGO India,Open Blue,3990.00,48.07,,,,False,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","Bangladesh
Dye",INR,,
Wide leg pleated jeans - Women | MANGO USA,Open Blue,,,,-57,57.15,True,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","Bangladesh
Dye",USD,29.99,69.99
,,,,,,,,,,,,
Long printed dress - Women | MANGO India,Red,3990.00,48.07,,,,False,"Composition: 85% viscose, 15% polyamide","Cambodia
Dye",INR,,
Long printed dress - Women | MANGO USA,Red,,,,-63,62.87,True,"Composition: 85% viscose, 15% polyamide","Cambodia
Dye",USD,25.99,69.99
,,,,,,,,,,,,
Draped dress with metallic detail - Women | MANGO India,Black,7090.00,85.42,,,,False,"Composition: 94% polyester, 6% elastane","Vietnam
Dye",INR,,
Draped dress with metallic detail - Women | MANGO USA,Black,,,,-50,50.00,True,"Composition: 94% polyester, 6% elastane","Vietnam
Dye",USD,69.99,139.99
,,,,,,,,,,,,
Wide leg jeans with rhinestones - Women | MANGO India,Black denim,6290.00,75.78,,,,False,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","China
Dye",INR,,
