Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time,Source File
2326611,BEAR AND HEART KEYCHAIN - Light brown | ZARA United States,GENERAL,Light brown,22.9,,45.0,True,,,,,,,,45% polyester | 100% polyester | 45% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_boyshirts
653645,FOLDABLE STAR PRINT UMBRELLA - Anthracite grey | ZARA United States,GENERAL,Anthracite grey,25.9,,100.0,True,1450.0,15.57,,100.0,,True,10.33,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_boyshirts
653629,HEART PRINT FOLDING UMBRELLA - Ecru | ZARA United States,GENERAL,Ecru,25.9,,100.0,True,1450.0,15.57,,100.0,,True,10.33,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_boyshirts
1698900,SUIT JACKET - Pastel blue | ZARA United States,GENERAL,Pastel blue,69.9,,62.0,True,,,,,,,,62% polyester | 100% polyester | 62% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_boytrousers
1608851,COMFORT SUIT JACKET - Navy blue | ZARA United States,GENERAL,Navy blue,55.9,,70.0,True,10950.0,117.62,9550.0,-48.0,,True,-61.72,70% polyester | 100% polyester | 70% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,Turkey,2026-04-04,93.1,16:03:53,kids2_boytrousers
1698870,TEXTURED BLAZER - Mid-blue | ZARA United States,GENERAL,Mid-blue,69.9,,69.0,True,4950.0,53.17,,69.0,,True,16.73,69% polyester | 100% polyester | 69% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_boytrousers
7484865,SUIT BLAZER - Mid-green | ZARA United States,GENERAL,Mid-green,55.9,,63.0,True,3950.0,42.43,,63.0,,True,13.47,63% cotton | 33% polyester | 100% polyester,,2026-04-04,93.1,16:03:53,kids2_boytrousers
4410782,COTTON AND LINEN BLEND SUIT JACKET - Ecru | ZARA United States,GENERAL,Ecru,69.9,,75.0,True,4950.0,53.17,,75.0,,True,16.73,Blazer with lapel collar and long sleeves. Front button closure. Front flap pockets and welt pocket at chest. Main fabric with 75% cotton and 22% linen. | 75% cotton | 25% linen | 100% polyester,,2026-04-04,93.1,16:03:53,kids2_boytrousers
1608780,COMFORT SUIT BLAZER - Mid-ecru | ZARA United States,GENERAL,Mid-ecru,55.9,,82.0,True,3950.0,42.43,,82.0,,True,13.47,82% polyester | 100% polyester | 82% RCS-certified recycled polyester,Turkey,2026-04-04,93.1,16:03:53,kids2_boytrousers
5854758,CLOTH HOODIE COAT - Navy blue | ZARA United States,GENERAL,Navy blue,69.9,,38.0,True,4950.0,53.17,,38.0,,True,16.73,38% wool | 38% polyester | 100% polyester | 38% RCS-certified recycled polyester | 38% RCS-certified recycled wool,China,2026-04-04,93.1,16:03:53,kids2_boytrousers
6825088,AGES 6-10 / MANDARIN COLLAR WOOL BLEND COAT LIMITED EDITION - Mink | ZARA United States,MAN,Mink,119.0,,23.0,True,,,,,,,,Mandarin collar coat with long sleeves. Front button closure. Patch pockets at front. Interior lining combined to match and with a striped print on the sleeves. 23% wool fabric. | 33% polyester | 23% wool | 5% silk (tussah) | 100% cotton | 34% polyester,,2026-04-04,93.1,16:03:53,kids2_boytrousers
1473770,WINDPROOF AND WATER RESISTANT RECCO® SYSTEM SKI COLLECTION JUMPSUIT - Light gray | ZARA United States,GENERAL,Light gray,199.0,,88.0,True,,,,,,,,100% polyester | 80% polyester | 80% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_boytrousers
935605,BASIC ZIP SWEATSHIRT - Pink | ZARA United States,GENERAL,Pink,25.9,,60.0,True,,,,,,,,60% cotton | 40% polyester | 97% cotton | 30% OCS certified organically grown cotton | 40% RCS-certified recycled polyester | 67% OCS certified organically grown cotton,Pakistan,2026-04-04,93.1,16:03:53,kids2_girlnew
4174611,BASIC INTERLOCK T-SHIRT - Ecru | ZARA United States,GENERAL,Ecru,15.9,,72.0,True,850.0,9.13,,72.0,,True,6.77,"Composition: 72% polyester, 28% cotton | 72% polyester | 28% cotton | 72% RCS-certified recycled polyester",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
962609,POLYAMIDE BODYSUIT - White | ZARA United States,GENERAL,White,17.9,,93.0,True,950.0,10.2,,93.0,,True,7.7,,Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
6045602,WIDE LEG JEANS - Gray marl | ZARA United States,GENERAL,Gray marl,39.9,,100.0,True,2350.0,25.24,,100.0,,True,14.66,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Egypt,2026-04-04,93.1,16:03:53,kids2_girlnew
935602,BARREL JOGGING PANTS - Sand / Marl | ZARA United States,GENERAL,Sand / Marl,22.9,,80.0,True,,,,,,,,"Composition: 80% cotton, 20% polyester | 80% cotton | 20% polyester | 40% OCS certified organically grown cotton | 20% RCS-certified recycled polyester",Pakistan,2026-04-04,93.1,16:03:53,kids2_girlnew
4174612,INTERLOCK WIDE LEG PANTS - Ecru | ZARA United States,GENERAL,Ecru,22.9,,72.0,True,1350.0,14.5,,72.0,,True,8.4,"Composition: 72% polyester, 28% cotton | 72% polyester | 28% cotton | 72% RCS-certified recycled polyester",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
5048600,BASIC WASHED EFFECT T-SHIRT - Light beige | ZARA United States,GENERAL,Light beige,12.9,,100.0,True,650.0,6.98,,100.0,,True,5.92,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4174608,PLAIN INTERLOCK T-SHIRT - White | ZARA United States,GENERAL,White,14.9,,95.0,True,750.0,8.06,,95.0,,True,6.84,"Composition: 95% cotton, 5% elastane | 95% cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
3198601,MODAL T-SHIRT WITH CUT OUTS AND BOWS - White | ZARA United States,GENERAL,White,14.9,,49.0,True,750.0,8.06,,49.0,,True,6.84,"Composition: 49% cotton, 49% modal, 2% elastane | 49% cotton",Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
8741615,STRIPED SHIRT PACK WITH CONTRAST RIB T-SHIRT - Blue | ZARA United States,GENERAL,Blue,35.9,,100.0,True,1950.0,20.95,,100.0,,True,14.95,Composition: 100% cotton | 100% cotton,China,2026-04-04,93.1,16:03:53,kids2_girlnew
895600,RIBBED LEGGINGS WITH MODAL LABEL - Blue | ZARA United States,GENERAL,Blue,12.9,,47.0,True,750.0,8.06,,47.0,,True,4.84,"Composition: 48% cotton, 47% modal, 5% elastane",,2026-04-04,93.1,16:03:53,kids2_girlnew
3199601,WASHED EFFECT TEXT SWEATSHIRT - Light blue | ZARA United States,GENERAL,Light blue,22.9,,80.0,True,,,,,,,,80% cotton | 20% polyester | 97% cotton | 20% RCS-certified recycled polyester | 30% RCS-certified recycled cotton,Pakistan,2026-04-04,93.1,16:03:53,kids2_girlnew
3641600,PLAIN T-SHIRT WITH MODAL - White | ZARA United States,GENERAL,White,12.9,,49.0,True,650.0,6.98,,49.0,,True,5.92,"Composition: 49% modal, 47% cotton, 4% elastane | 47% cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4551606,BARREL JEANS - Blue | ZARA United States,GENERAL,Blue,39.9,,100.0,True,2350.0,25.24,,100.0,,True,14.66,Composition: 100% cotton | 100% cotton | 22% RCS-certified recycled cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4174610,BASIC INTERLOCK T-SHIRT - Pink | ZARA United States,GENERAL,Pink,15.9,,80.0,True,850.0,9.13,,80.0,,True,6.77,"Composition: 80% cotton, 20% polyester | 80% cotton | 20% polyester",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
8054650,FLARE PLUSH PANTS - Brown | ZARA United States,GENERAL,Brown,22.9,,65.0,True,1350.0,14.5,,65.0,,True,8.4,"Composition: 65% viscose, 30% cotton, 5% elastane | 30% cotton | 30% RCS-certified recycled cotton",Cambodia,2026-04-04,93.1,16:03:53,kids2_girlnew
2335600,FLARE LEGGINGS - Mauve | ZARA United States,GENERAL,Mauve,19.9,,95.0,True,1150.0,12.35,,95.0,,True,7.55,"Composition: 95% cotton, 5% elastane",,2026-04-04,93.1,16:03:53,kids2_girlnew
4174614,BASIC INTERLOCK T-SHIRT - Gray marl | ZARA United States,GENERAL,Gray marl,15.9,,78.0,True,850.0,9.13,,78.0,,True,6.77,"Composition: 78% cotton, 17% polyester, 5% viscose | 78% cotton | 17% polyester | 78% OCS certified organically grown cotton | 17% RCS-certified recycled polyester",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4174613,INTERLOCK WIDE LEG PANTS - Gray marl | ZARA United States,GENERAL,Gray marl,22.9,,78.0,True,1350.0,14.5,,78.0,,True,8.4,"Composition: 78% cotton, 17% polyester, 5% viscose | 78% cotton | 17% polyester | 78% OCS certified organically grown cotton | 17% RCS-certified recycled polyester",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4551600,STRAIGHT LEG JEANS - Blue | ZARA United States,GENERAL,Blue,39.9,,100.0,True,2350.0,25.24,,100.0,,True,14.66,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
1879694,EMBROIDERED VARSITY TEXT CAP - Ecru / Navy | ZARA United States,GENERAL,Ecru / Navy,15.9,,100.0,True,850.0,9.13,,100.0,,True,6.77,100% cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
1716606,BASIC RAGLAN SLEEVE T-SHIRT - White | ZARA United States,GENERAL,White,12.9,,100.0,True,650.0,6.98,,100.0,,True,5.92,Composition: 100% cotton | 100% cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
9006626,TWO-PACK OF SHORT LEGGINGS - Navy blue | ZARA United States,GENERAL,Navy blue,15.9,,95.0,True,850.0,9.13,,95.0,,True,6.77,"Composition: 95% cotton, 5% elastane",,2026-04-04,93.1,16:03:53,kids2_girlnew
613602,TIE T-SHIRT AND JOGGER PANTS SET - Mid-blue | ZARA United States,GENERAL,Mid-blue,32.9,,100.0,True,1750.0,18.8,,100.0,,True,14.1,Composition: 100% cotton | 100% cotton | 40% RCS-certified recycled cotton | 60% OCS certified organically grown cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
613604,PLAIN WIDE LEG T-SHIRT AND PANTS SET - Yellow | ZARA United States,GENERAL,Yellow,32.9,,100.0,True,1750.0,18.8,,100.0,,True,14.1,Composition: 100% cotton | 100% cotton | 60% OCS certified organically grown cotton | 40% RCS-certified recycled cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
9007062,SWEATSHIRT AND BERMUDA SET WITH TEXT - Yellow | ZARA United States,GENERAL,Yellow,32.9,,100.0,True,,,,,,,,100% cotton | 97% cotton | 100% OCS certified organically grown cotton | 97% OCS certified organically grown cotton,Pakistan,2026-04-04,93.1,16:03:53,kids2_girlnew
