Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
4327041,CROPPED STRIPED VISCOSE-CUPRO BOMBER JACKET - striped | ZARA United States,GENERAL,striped,129.0,,63,True,7550.0,80.65,,63.0,,True,48.35,90% polyester | 10% cotton | 35% polyester,Morocco,2026-03-22,93.62,men_new
3992442,RELAXED FIT CROCHET CARDIGAN - Brown | ZARA United States,GENERAL,Brown,79.9,,99,True,4350.0,46.46,,99.0,,True,33.44,"Composition: 99% cotton, 1% elastane | 99% cotton",Turkey,2026-03-22,93.62,men_new
3992438,CROCHET KNIT TANK TOP - Brown | ZARA United States,GENERAL,Brown,45.9,,99,True,2350.0,25.1,,99.0,,True,20.8,"Composition: 99% cotton, 1% elastane | 99% cotton",Turkey,2026-03-22,93.62,men_new
4316025,100% LINEN WIDE FIT WRAP SHORTS - Beige | ZARA United States,GENERAL,Beige,119.0,,100,True,6550.0,69.96,,100.0,,True,49.04,100% LINEN WIDE FIT WRAP SHORTS | Composition: 100% linen | / 100% LINEN WIDE FIT WRAP SHORTS | 100% linen,Morocco,2026-03-22,93.62,men_new
4334039,100% LINEN TEXTURED HANDKERCHIEF SHIRT - Dark eggplant | ZARA United States,GENERAL,Dark eggplant,129.0,,100,True,7550.0,80.65,,100.0,,True,48.35,100% LINEN TEXTURED HANDKERCHIEF SHIRT | Composition: 100% linen | / 100% LINEN TEXTURED HANDKERCHIEF SHIRT | 100% linen,Morocco,2026-03-22,93.62,men_new
4312014,RELAXED FIT WRAP PANTS - Taupe gray | ZARA United States,GENERAL,Taupe gray,129.0,,14,True,7550.0,80.65,,14.0,,True,48.35,"Relaxed fit pants made of flowing fabric with a viscose and 14% linen blend. Front pockets and back buttoned welt pockets. Front wrap closure with zipper, button, and tab. | Composition: 86% viscose, 14% linen | 14% linen",Morocco,2026-03-22,93.62,men_new
6224462,CORAL EMBROIDERED RELAXED FIT T-SHIRT - Black | ZARA United States,GENERAL,Black,49.9,,100,True,2550.0,27.24,,100.0,,True,22.66,Composition: 100% cotton | 100% cotton,Portugal,2026-03-22,93.62,men_new
4329031,RELAXED FIT LYOCELL-VISCOSE JACKET - Gray | ZARA United States,GENERAL,Gray,129.0,,62,True,7550.0,80.65,,62.0,,True,48.35,,Morocco,2026-03-22,93.62,men_new
5755013,FLORAL JACQUARD KNIT VEST - Brown / Taupe | ZARA United States,GENERAL,Brown / Taupe,69.9,,57,True,3950.0,42.19,,57.0,,True,27.71,"Composition: 57% cotton, 24% linen, 19% polyamide | 57% cotton | 24% linen | 24% RCS-certified recycled linen | 57% RCS-certified recycled cotton",China,2026-03-22,93.62,men_new
9863001,RELAXED FIT WAXED LYOCELL SHORTS - Brown | ZARA United States,GENERAL,Brown,119.0,,100,True,6550.0,69.96,,100.0,,True,49.04,,Turkey,2026-03-22,93.62,men_new
4336021,FLUID FLORAL PRINT SHIRT - Printed | ZARA United States,GENERAL,Printed,119.0,,100,True,6550.0,69.96,,100.0,,True,49.04,,Morocco,2026-03-22,93.62,men_new
3992453,CROCHET KNIT HENLEY SHIRT - Brown | ZARA United States,GENERAL,Brown,69.9,,99,True,3950.0,42.19,,99.0,,True,27.71,"Composition: 99% cotton, 1% elastane",,2026-03-22,93.62,men_new
7140002,OPENWORK TEXTURED CARDIGAN - Light beige | ZARA United States,GENERAL,Light beige,99.9,,100,True,5550.0,59.28,,100.0,,True,40.62,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,2026-03-22,93.62,men_new
13519720,LEATHER CROSSBODY BAG - Brown | ZARA United States,GENERAL,Brown,149.0,,100,True,9550.0,102.01,,100.0,,True,46.99,,China,2026-03-22,93.62,men_new
13348720,LEATHER SHOPPER - Black | ZARA United States,GENERAL,Black,499.0,,100,True,33550.0,358.36,,100.0,,True,140.64,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62,men_new
13349720,LEATHER SHOPPER BAG - Black | ZARA United States,GENERAL,Black,439.0,,100,True,29950.0,319.91,,100.0,,True,119.09,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62,men_new
12492720,LEATHER SHOES - Blue | ZARA United States,GENERAL,Blue,179.0,,100,True,11950.0,127.64,,100.0,,True,51.36,15% polyester | 15% RCS-certified recycled polyester,Portugal,2026-03-22,93.62,men_new
12493720,LEATHER SHOES - Burgundy Red | ZARA United States,GENERAL,Burgundy Red,179.0,,100,True,11950.0,127.64,,100.0,,True,51.36,16% polyester | 16% RCS-certified recycled polyester,Portugal,2026-03-22,93.62,men_new
12692720,LEATHER LOAFERS - Brown | ZARA United States,GENERAL,Brown,179.0,,100,True,11950.0,127.64,,100.0,,True,51.36,12% polyester,,2026-03-22,93.62,men_new
12798720,CRISSCROSS LEATHER SANDALS - Green | ZARA United States,GENERAL,Green,149.0,,100,True,9550.0,102.01,,100.0,,True,46.99,,China,2026-03-22,93.62,men_new
8435465,COMBINED METAL PLATE NECKLACE - Brown | ZARA United States,GENERAL,Brown,49.9,,70,True,2550.0,27.24,,70.0,,True,22.66,"Composition: 70% polyester, 25% zinc, 3% brass, 1% iron, 1% Ag | 70% polyester | 70% RCS-certified recycled polyester",China,2026-03-22,93.62,men_new
441412,COMBINED PENDANT CORD NECKLACE - various | ZARA United States,GENERAL,various,39.9,,60,True,2050.0,21.9,,60.0,,True,18.0,,China,2026-03-22,93.62,men_new
5919422,LEATHER CARABINER BELT - Brown | ZARA United States,GENERAL,Brown,79.9,,100,True,4350.0,46.46,,100.0,,True,33.44,,Spain,2026-03-22,93.62,men_new
6980400,CONTRAST LEATHER BELT - Black | ZARA United States,GENERAL,Black,79.9,,100,True,4350.0,46.46,,100.0,,True,33.44,,Spain,2026-03-22,93.62,men_new
2907404,OVAL SUNGLASSES - Silver | ZARA United States,GENERAL,Silver,99.9,,90,True,5550.0,59.28,,90.0,,True,40.62,,China,2026-03-22,93.62,men_new
8435466,METAL HOOK KEYCHAIN - Gold | ZARA United States,GENERAL,Gold,29.9,,70,True,1650.0,17.62,,70.0,,True,12.28,,China,2026-03-22,93.62,men_new
1564700,COMFORT SUIT JACKET - Dark brown | ZARA United States,GENERAL,Dark brown,129.0,,54,True,7550.0,80.65,,54.0,,True,48.35,54% polyester | 100% polyester | 95% polyester | 54% RCS-certified recycled polyester | 100% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,Turkey,2026-03-22,93.62,men_new
1564701,STRETCH SUIT PANTS - Dark brown | ZARA United States,GENERAL,Dark brown,69.9,,54,True,3950.0,42.19,,54.0,,True,27.71,"Composition: 54% polyester, 39% viscose, 7% elastane | 54% polyester | 54% RCS-certified recycled polyester",Turkey,2026-03-22,93.62,men_new
7545710,EASY CARE TEXTURED SHIRT - Brown Stripes | ZARA United States,GENERAL,Brown Stripes,49.9,,60,True,1750.0,18.69,,60.0,,True,31.21,"Composition: 60% cotton, 40% polyester",,2026-03-22,93.62,men_new
2241408,100% SILK GEOMETRIC JACQUARD TIE - Brown | ZARA United States,GENERAL,Brown,4.0,59.9,100,True,2950.0,31.51,,100.0,,True,-27.51,100% SILK GEOMETRIC JACQUARD TIE | 100% silk (mulberry) | / 100% SILK GEOMETRIC JACQUARD TIE,China,2026-03-22,93.62,men_new
4410410,100% LINEN SUIT JACKET - Light beige | ZARA United States,GENERAL,Light beige,169.0,,100,True,9550.0,102.01,,100.0,,True,66.99,100% LINEN SUIT JACKET | 100% linen | 100% polyester | / 100% LINEN SUIT JACKET | 100% certified European grown linen | 100% RCS-certified recycled polyester,Bangladesh,2026-03-22,93.62,men_new
4410411,100% LINEN SUIT PANTS - Light beige | ZARA United States,GENERAL,Light beige,79.9,,100,True,4350.0,46.46,,100.0,,True,33.44,100% LINEN SUIT PANTS | Composition: 100% linen | / 100% LINEN SUIT PANTS | 100% linen | 100% certified European grown linen,Bangladesh,2026-03-22,93.62,men_new
