feature,coefficient,abs_coefficient
cat__Segment_Men,-0.1401803155590658,0.1401803155590658
"cat__materials_text_Composition: 72% cotton, 25% polyester, 3% other fibres",0.13995031958514592,0.13995031958514592
cat__colour_from_title_Taupe gray,0.13981967798941827,0.13981967798941827
cat__materials_text_Composition: 100% cotton | 100% cotton | 78% OCS certified organically grown cotton | 20% RCS-certified recycled cotton,0.13938026491769448,0.13938026491769448
cat__materials_text_38% wool | 38% polyester | 100% polyester | 38% RCS-certified recycled polyester | 38% RCS-certified recycled wool,-0.13812408677047927,0.13812408677047927
cat__materials_text_100% cotton | 100% polyester | 100% OCS certified organically grown cotton | 100% RCS-certified recycled polyester,0.13693559407147834,0.13693559407147834
cat__colour_from_title_Dark tan,-0.13575945746392312,0.13575945746392312
cat__materials_text_15% polyester | 15% RCS-certified recycled polyester,0.1336016246116794,0.1336016246116794
"cat__materials_text_Composition: 65% polyester, 35% cotton | 65% polyester | 35% cotton | 65% RCS-certified recycled polyester | 35% OCS certified organically grown cotton",-0.1327957277283125,0.1327957277283125
cat__materials_text_100% polyester | 100% RCS-certified recycled polyester,0.1313924840221175,0.1313924840221175
cat__materials_text_100% cotton | 48% polyester | 100% OCS certified organically grown cotton | 48% RCS-certified recycled polyester,0.13058961832446406,0.13058961832446406
cat__materials_text_61% linen | 55% polyester | 65% cotton | 35% polyester,-0.13051710130149613,0.13051710130149613
cat__materials_text_Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,0.1267627731991216,0.1267627731991216
"cat__materials_text_Composition: 97% cotton, 3% elastane | 97% cotton",0.12583134229045712,0.12583134229045712
"cat__materials_text_Composition: 90% modal, 10% polyester | 10% polyester",0.12364547684948854,0.12364547684948854
cat__colour_from_title_Burgundy Red,0.12038568296259479,0.12038568296259479
cat__materials_text_96% polyester | 100% polyester | 100% RCS-certified recycled polyester | 96% RCS-certified recycled polyester,0.11808359204566637,0.11808359204566637
"cat__materials_text_Composition: 64% cotton, 36% polyester | 64% cotton | 36% polyester | 33% RCS-certified recycled polyester | 22% RCS-certified recycled cotton | 42% OCS certified organically grown cotton",0.11726514623304068,0.11726514623304068
"cat__materials_text_Composition: 57% cotton, 27% linen, 16% lyocell | 57% cotton | 27% linen | 57% RCS-certified recycled cotton",-0.11566590966503575,0.11566590966503575
cat__colour_from_title_Mauve,-0.11523073839212081,0.11523073839212081
cat__materials_text_95% polyester | 100% polyester | 100% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,0.11468705792402925,0.11468705792402925
"cat__materials_text_Composition: 57% cotton, 43% polyester | 57% cotton | 43% polyester | 43% RCS-certified recycled polyester | 57% OCS certified organically grown cotton",-0.11370696647321434,0.11370696647321434
cat__materials_text_100% cotton | 100% RCS-certified recycled cotton,0.11333225734901375,0.11333225734901375
