Product_ID,Segment,Source File,Specific_Category,US_url,IN_url,name,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_discount_pct_calc,US_on_sale,IN_price_current_inr,IN_price_original_inr,IN_price_current_usd,IN_price_original_usd,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,US_detail_selector,US_composition_selector,IN_detail_selector,IN_composition_selector,row_collected_at_local,row_collected_at_utc,fx_rate_live_usd_inr,fx_rate_timestamp_utc
17014436,Men,comparison_men_shirts,Men_men_shirts,https://shop.mango.com/us/en/p/men/shirts/regular-fit/regular-fit-100-cotton-shirt_17014436,https://shop.mango.com/in/en/p/men/shirts/regular-fit/regular-fit-100-cotton-shirt_17014436,Regular-fit 100% cotton shirt - Men | MANGO USA,,55.99,69.99,-20,20.00,True,4190.0,,44.77,,,,False,11.22,REGULAR-FIT 100% COTTON SHIRT | 100% cotton fabric. Regular fit. Long sleeves with buttoned cuffs. Front button closure. Shirt collar | 100% cotton slim-fit shirt | 100% cotton Oxford shirt | Composition: 100% cotton,"Bangladesh
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:35:27.512309-04:00,2026-04-02T03:35:27.512348+00:00,93.58775,2026-04-02T03:34:00+00:00
17024433,Men,comparison_men_shirts,Men_men_shirts,https://shop.mango.com/us/en/p/men/shirts/regular-fit/100-cotton-striped-shirt_17024433,https://shop.mango.com/in/en/p/men/shirts/regular-fit/100-cotton-striped-shirt_17024433,100% cotton striped shirt - Men | MANGO USA,,55.99,69.99,-20,20.00,True,4190.0,,44.78,,,,False,11.21,100% COTTON STRIPED SHIRT | Regular fit. 100% cotton fabric. Striped design. Shirt collar. Long sleeves with buttoned cuffs. Front button closure. Rounded hem | 100% cotton slim-fit V-neck t-shirt | 100% cotton slim-fit striped shirt | 100% cotton regular-fit striped shirt | Composition: 100% cotton,"Bangladesh
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:36:50.488033-04:00,2026-04-02T03:36:50.488060+00:00,93.56343,2026-04-02T03:35:00+00:00
17041244,Men,comparison_men_shirts,Men_men_shirts,https://shop.mango.com/us/en/p/men/shirts/rib-knit-shirt_17041244,https://shop.mango.com/in/en/p/men/shirts/rib-knit-shirt_17041244,Rib-knit shirt - Men | MANGO USA,,35.99,79.99,-55,55.01,True,4990.0,,53.32,,,,False,-17.33,"100% linen bowling-collar shirt | 100% linen slim-fit shirt | Composition: 35% viscose, 30% polyester, 25% cotton, 10% linen","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-01T23:38:54.502448-04:00,2026-04-02T03:38:54.502471+00:00,93.59307,2026-04-02T03:37:00+00:00
27061234,Men,comparison_men_shirts,Men_men_shirts,https://shop.mango.com/us/en/p/men/shirts/cotton-knit-shirt_27061234,https://shop.mango.com/in/en/p/men/shirts/cotton-knit-shirt_27061234,Cotton knit shirt - Men | MANGO USA,,79.99,,,,False,4990.0,,53.5,,,,False,26.49,"100% linen bowling-collar shirt | 100% merino wool cardigan | Structured knit polo, 100% cotton, with buttons | Composition: 58% polyester, 42% cotton","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:02:56.943274-04:00,2026-04-02T04:02:56.943302+00:00,93.27244,2026-04-02T04:01:00+00:00
27081310,Men,comparison_men_shirts,Men_men_shirts,https://shop.mango.com/us/en/p/men/shirts/plain/100-cotton-slim-fit-shirt_27081310,https://shop.mango.com/in/en/p/men/shirts/plain/100-cotton-slim-fit-shirt_27081310,100% cotton slim-fit shirt - Men | MANGO USA,,59.99,79.99,-25,25.00,True,4990.0,,53.51,,,,False,6.48,100% COTTON SLIM-FIT SHIRT | Slim fit. 100% cotton fabric. Shirt collar. Long sleeves with buttoned cuffs. Front button closure | Regular-fit 100% cotton shirt | 100% linen slim-fit shirt | Composition: 100% cotton,"Egypt
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:13:41.761891-04:00,2026-04-02T04:13:41.761940+00:00,93.24967,2026-04-02T04:12:00+00:00
27091261,Men,comparison_men_shirts,Men_men_shirts,https://shop.mango.com/us/en/p/men/shirts/plain/100-cotton-dress-shirt_27091261,https://shop.mango.com/in/en/p/men/shirts/plain/100-cotton-dress-shirt_27091261,100% cotton dress shirt - Men | MANGO USA,,79.99,,,,False,4990.0,,53.52,,,,False,26.47,100% COTTON DRESS SHIRT | 100% Cotton. Silhouette Classic Fit. Shirt collar. Rounded hem. Long sleeves with buttoned cuffs. Front button closure | Turin 100% virgin wool suit blazer | Turin 100% wool suit pants | 100% cotton striped slim-fit shirt | Regular-fit 100% cotton shirt | 100% cotton Oxford shirt | Composition: 100% cotton,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T00:19:58.805826-04:00,2026-04-02T04:19:58.805857+00:00,93.23495,2026-04-02T04:18:00+00:00
