Product_ID,Segment,Source File,Specific_Category,US_url,IN_url,name,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_discount_pct_calc,US_on_sale,IN_price_current_inr,IN_price_original_inr,IN_price_current_usd,IN_price_original_usd,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,US_detail_selector,US_composition_selector,IN_detail_selector,IN_composition_selector,row_collected_at_local,row_collected_at_utc,fx_rate_live_usd_inr,fx_rate_timestamp_utc
27031334,Women,comparison_outerwear,Women_outerwear,https://shop.mango.com/us/en/p/women/jackets/wool-jacket-with-shirt-collar_27031334,https://shop.mango.com/in/en/p/women/jackets/wool-jacket-with-shirt-collar_27031334,Wool jacket with shirt collar - Women | MANGO USA,,95.99,139.99,-31,31.43,True,6990.0,,75.26,,,,False,20.73,"Composition: 49% polyester, 45% wool, 4% acrylic, 1% polyamide, 1% viscose | Lining: 100% polyester","Cambodia
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:31:32.037059-04:00,2026-04-02T08:31:32.037098+00:00,92.87906,2026-04-02T08:30:00+00:00
27074101,Women,comparison_outerwear,Women_outerwear,https://shop.mango.com/us/en/p/women/jackets/tweed/jacket-with-jewel-button-strip-collar_27074101,https://shop.mango.com/in/en/p/women/jackets/jacket-with-jewel-button-strip-collar_27074101,Jacket with jewel-button strip collar - Women | MANGO USA,,179.99,,,,False,9790.0,,105.5,,,,False,74.49,"Composition: 75% polyester, 19% viscose, 6% elastane | Lining: 52% viscose, 48% polyester","Morocco
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:50:01.875414-04:00,2026-04-02T08:50:01.875463+00:00,92.79766,2026-04-02T08:48:00+00:00
