Product_ID,Segment,Source File,Specific_Category,US_url,IN_url,name,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_discount_pct_calc,US_on_sale,IN_price_current_inr,IN_price_original_inr,IN_price_current_usd,IN_price_original_usd,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,US_detail_selector,US_composition_selector,IN_detail_selector,IN_composition_selector,row_collected_at_local,row_collected_at_utc,fx_rate_live_usd_inr,fx_rate_timestamp_utc
17001208,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/wide-leg/high-rise-wide-leg--jeans-with-pockets_17001208,https://shop.mango.com/in/en/p/women/jeans/wide-leg/high-rise-wide-leg--jeans-with-pockets_17001208,High-rise wide leg jeans with pockets - Women | MANGO USA,,79.99,,,,False,4290.0,,46.23,,,,False,33.76,Composition: 100% cotton,"Bangladesh
Dye",button:has-text('DETAILS'),,text=DETAILS,,2026-04-02T04:12:24.108408-04:00,2026-04-02T08:12:24.108432+00:00,92.80645,2026-04-02T08:11:00+00:00
17001212,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/wide-leg/wide-leg-pleated-jeans_17001212,https://shop.mango.com/in/en/p/women/jeans/wide-leg/wide-leg-pleated-jeans_17001212,Wide leg pleated jeans - Women | MANGO USA,,69.99,,,,False,3990.0,,42.99,,,,False,27.0,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","Bangladesh
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:13:16.055685-04:00,2026-04-02T08:13:16.055712+00:00,92.80645,2026-04-02T08:11:00+00:00
17047801,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/wide-leg/wide-leg-jeans-with-rhinestones_17047801,https://shop.mango.com/in/en/p/women/jeans/wide-leg/wide-leg-jeans-with-rhinestones_17047801,Wide leg jeans with rhinestones - Women | MANGO USA,,99.99,,,,False,6290.0,,67.72,,,,False,32.27,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:20:18.931503-04:00,2026-04-02T08:20:18.931538+00:00,92.88678,2026-04-02T08:19:00+00:00
27013340,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/balloon/high-waisted-barrel-jeans_27013340,https://shop.mango.com/in/en/p/women/jeans/balloon/high-waisted-barrel-jeans_27013340,High-waisted barrel jeans - Women | MANGO USA,,45.99,69.99,-34,34.29,True,3990.0,,42.96,,,,False,3.03,Composition: 100% cotton,"Pakistan
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:25:55.692817-04:00,2026-04-02T08:25:55.692835+00:00,92.88524,2026-04-02T08:24:00+00:00
27021319,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/balloon/mid-rise-balloon-jeans_27021319,https://shop.mango.com/in/en/p/women/jeans/balloon/mid-rise-balloon-jeans_27021319,Mid-rise balloon jeans - Women | MANGO USA,,45.99,89.99,-49,48.89,True,4990.0,,53.73,,,,False,-7.74,Composition: 100% cotton,"Morocco
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:28:43.340525-04:00,2026-04-02T08:28:43.340558+00:00,92.86891,2026-04-02T08:27:00+00:00
27081342,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/straight/mid-rise-straight-jeans_27081342,https://shop.mango.com/in/en/p/women/jeans/straight/mid-rise-straight-jeans_27081342,Mid-rise straight jeans - Women | MANGO USA,,45.99,89.99,-49,48.89,True,4990.0,,53.75,,,,False,-7.76,Composition: 100% cotton,"Designed in Barcelona
Manufacture",text=DETAILS,,text=DETAILS,,2026-04-02T04:55:36.586951-04:00,2026-04-02T08:55:36.586983+00:00,92.83426,2026-04-02T08:54:00+00:00
27085817,Women,comparison_jeans,Women_jeans,https://shop.mango.com/us/en/p/women/jeans/balloon/balloon-jeans-with-rolled-up-hem_27085817,https://shop.mango.com/in/en/p/women/jeans/balloon/balloon-jeans-with-rolled-up-hem_27085817,Balloon jeans with cuffed hem - Women | MANGO USA,,89.99,,,,False,4990.0,,53.75,,,,False,36.24,Composition: 100% cotton,"Bangladesh
CARE

Machine washing max",text=DETAILS,,text=DETAILS,,2026-04-02T04:57:00.045802-04:00,2026-04-02T08:57:00.045832+00:00,92.83771,2026-04-02T08:55:00+00:00
