Product_ID,Segment,Source File,Specific_Category,US_url,IN_url,name,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_discount_pct_calc,US_on_sale,IN_price_current_inr,IN_price_original_inr,IN_price_current_usd,IN_price_original_usd,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,US_detail_selector,US_composition_selector,IN_detail_selector,IN_composition_selector,row_collected_at_local,row_collected_at_utc,fx_rate_live_usd_inr,fx_rate_timestamp_utc
27066716,Kids,comparison_misc,Kids_misc,https://shop.mango.com/us/en/p/newborn/sweaters-and-cardigans/sweaters/knit-striped-sweater_27066716,https://shop.mango.com/in/en/p/newborn/sweaters-and-cardigans/sweaters/knit-striped-sweater_27066716,Knit striped sweater - Kids | MANGO USA,,35.99,,,,False,2090.0,,22.52,,,,False,13.47,100% cotton fabric. Knit fabric. Straight design. Striped design. Round neck. Long sleeves. Button closure on the shoulder | Composition: 100% cotton,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:46:24.411815-04:00,2026-04-02T08:46:24.411872+00:00,92.81387,2026-04-02T08:45:00+00:00
27096720,Kids,comparison_misc,Kids_misc,https://shop.mango.com/us/en/p/newborn/shirts/embroidered-cotton-blouse_27096720,https://shop.mango.com/in/en/p/newborn/shirts/embroidered-cotton-blouse_27096720,Embroidered cotton blouse - Kids | MANGO USA,,29.99,,,,False,1890.0,,20.36,,,,False,9.63,100% cotton fabric. Straight design. Round neck. Short sleeve. Button closure at the back. Embroidered details | Composition: 100% cotton | Lining: 100% cotton,"India
Dye",text=DETAILS,text=COMPOSITION AND CARE,text=DETAILS,text=COMPOSITION AND CARE,2026-04-02T05:03:18.645576-04:00,2026-04-02T09:03:18.645624+00:00,92.82354,2026-04-02T09:02:00+00:00
