Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time
12639620,LEATHER PENNY LOAFERS - Black | ZARA United States,GENERAL,Black,99.9,,"
100",True,,,,,,,,65% polyester | 65% RCS-certified recycled polyester,Bangladesh,2026-04-04,93.1,15:02:07
12608620,LEATHER PENNY LOAFERS - Burgundy Red | ZARA United States,GENERAL,Burgundy Red,109.0,,"
100",True,7550.0,81.1,,"
100",,True,27.9,30% polyester | 30% RCS-certified recycled polyester,India,2026-04-04,93.1,15:02:07
12673620,LEATHER LOAFERS - Black | ZARA United States,GENERAL,Black,109.0,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,Portugal,2026-04-04,93.1,15:02:07
12685720,DRESS PENNY LOAFERS - Black | ZARA United States,GENERAL,Black,69.9,,"
100",True,2150.0,23.09,6550.0,-39,67.18,True,46.81,100% polyester,China,2026-04-04,93.1,15:02:07
12455720,LEATHER SHOES - Off White | ZARA United States,GENERAL,Off White,99.9,,"
100",True,,,,,,,,100% polyester | 65% cotton | 35% polyester,,2026-04-04,93.1,15:02:07
12751720,FABRIC ESPADRILLES - Blue | ZARA United States,GENERAL,Blue,55.9,,"
100",True,2950.0,31.69,5950.0,-40,50.42,True,24.21,100% cotton | 65% cotton | 35% polyester,Bangladesh,2026-04-04,93.1,15:02:07
12651720,CASUAL LEATHER TASSEL LOAFERS - Beige | ZARA United States,GENERAL,Beige,99.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,Laos,2026-04-04,93.1,15:02:07
12743720,FABRIC ESPADRILLES - Off White | ZARA United States,GENERAL,Off White,55.9,,"
100",True,2950.0,31.69,5950.0,-40,50.42,True,24.21,100% cotton | 65% cotton | 35% polyester,Bangladesh,2026-04-04,93.1,15:02:07
12232720,HEEL DETAIL SNEAKERS - White | ZARA United States,GENERAL,White,59.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,Vietnam,2026-04-04,93.1,15:02:07
12215620,MONOCHROME THICK-SOLED SNEAKERS - Black | ZARA United States,GENERAL,Black,59.9,,"
100",True,,,,,,,,60% polyester | 100% polyester | 60% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12205720,SNEAKERS WITH HEEL DETAIL - Black | ZARA United States,GENERAL,Black,59.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,Vietnam,2026-04-04,93.1,15:02:07
12704720,DOUBLE STRAP LEATHER SANDALS - Taupe Gray | ZARA United States,GENERAL,Taupe Gray,69.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,Vietnam,2026-04-04,93.1,15:02:07
